division,conference,name,handle,use_for_ballot
FBS,Sun Belt,Idaho Vandals,idaho,1
FBS,Sun Belt,Louisiana Ragin' Cajuns,louisiana,1
FBS,Sun Belt,New Mexico State Aggies,newmexicostate,1
FBS,Sun Belt,South Alabama Jaguars,southalabama,1
FBS,Sun Belt,Texas State Bobcats,texasstate,1
FBS,Sun Belt,Troy Trojans,troy,1
FBS,Sun Belt,ULM Warhawks,ulm,1
FCS,Big Sky,Cal Poly Mustangs,calpoly,0
FCS,Big Sky,Eastern Washington Eagles,easternwashington,0
FCS,Big Sky,Idaho State Bengals,idahostate,0
FCS,Big Sky,Montana Grizzlies,montana,0
FCS,Big Sky,Montana State Bobcats,montanastate,0
FCS,Big Sky,North Dakota Fighting Hawks,northdakota,0
FCS,Big Sky,Northern Arizona Lumberjacks,northernarizona,0
FCS,Big Sky,Northern Colorado Bears,northerncolorado,0
FCS,Big Sky,Portland State Vikings,portlandstate,0
FCS,Big Sky,Sacramento State Hornets,sacramentostate,0
FCS,Big Sky,Southern Utah Thunderbirds,southernutah,0
FCS,Big Sky,UC Davis Aggies,ucdavis,0
FCS,Big Sky,Weber State Wildcats,weberstate,0
FCS,Big South,Charleston Southern Buccaneers,charlestonsouthern,0
FCS,Big South,Gardner-Webb Runnin' Bulldogs,gardnerwebb,0
FCS,Big South,Kennesaw State Owls,kennesaw,0
FCS,Big South,Liberty Flames,liberty,0
FCS,Big South,Monmouth Hawks,monmouth,0
FCS,Big South,Presbyterian Blue Hose,presbyterian,0
FCS,CAA,Albany Great Danes,albany,0
FCS,CAA,Delaware Fightin' Blue Hens,delaware,0
FCS,CAA,Elon Phoenix,elon,0
FCS,CAA,James Madison Dukes,jamesmadison,0
FCS,CAA,Maine Black Bears,maine,0
FCS,CAA,New Hampshire Wildcats,newhampshire,0
FCS,CAA,Rhode Island Rams,rhodeisland,0
FCS,CAA,Richmond Spiders,richmond,0
FCS,CAA,Stony Brook Seawolves,stonybrook,0
FCS,CAA,Towson Tigers,towson,0
FCS,CAA,Villanova Wildcats,villanova,0
FCS,CAA,William & Mary Tribe,williammary,0
FCS,Ivy,Brown Bears,brown,0
FCS,Ivy,Columbia Lions,columbia,0
FCS,Ivy,Cornell Big Red,cornell,0
FCS,Ivy,Dartmouth Big Green,dartmouth,0
FCS,Ivy,Harvard Crimson,harvard,0
FCS,Ivy,Pennsylvania Quakers,pennsylvania,0
FCS,Ivy,Princeton Tigers,princeton,0
FCS,Ivy,Yale Bulldogs,yale,0
FCS,MEAC,Bethune-Cookman Wildcats,bethunecookman,0
FCS,MEAC,Delaware State Hornets,delawarestate,0
FCS,MEAC,Florida A&M Rattlers,floridaam,0
FCS,MEAC,Hampton Pirates,hampton,0
FCS,MEAC,Howard Bison,howard,0
FCS,MEAC,Morgan State Bears,morganstate,0
FCS,MEAC,Norfolk State Spartans,norfolkstate,0
FCS,MEAC,North Carolina A&T Aggies,northcarolinaat,0
FCS,MEAC,North Carolina Central Eagles,nccentral,0
FCS,MEAC,Savannah State Tigers,savannahstate,0
FCS,MEAC,South Carolina State Bulldogs,southcarolinastate,0
FCS,Missouri Valley,Illinois State Redbirds,illinoisstate,0
FCS,Missouri Valley,Indiana State Sycamores,indianastate,0
FCS,Missouri Valley,Missouri State Bears,missouristate,0
FCS,Missouri Valley,North Dakota State Bison,northdakotastate,1
FCS,Missouri Valley,Northern Iowa Panthers,northerniowa,0
FCS,Missouri Valley,South Dakota Coyotes,southdakota,0
FCS,Missouri Valley,South Dakota State Jackrabbits,southdakotastate,0
FCS,Missouri Valley,Southern Illinois Salukis,southernillinois,0
FCS,Missouri Valley,Western Illinois Leathernecks,westernillinois,0
FCS,Missouri Valley,Youngstown State Penguins,youngstownstate,0
FCS,Northeast,Bryant Bulldogs,bryant,0
FCS,Northeast,Central Connecticut State Blue Devils,centralconnecticutstate,0
FCS,Northeast,Duquesne Dukes,duquesne,0
FCS,Northeast,Robert Morris Colonials,robertmorris,0
FCS,Northeast,Sacred Heart Pioneers,sacredheart,0
FCS,Northeast,St. Francis Red Flash,stfrancis,0
FCS,Northeast,Wagner Seahawks,wagner,0
FCS,Ohio Valley,Austin Peay Governors,austinpeay,0
FCS,Ohio Valley,Eastern Illinois Panthers,easternillinois,0
FCS,Ohio Valley,Eastern Kentucky Colonels,easternkentucky,0
FCS,Ohio Valley,Jacksonville State Gamecocks,jacksonvillestate,0
FCS,Ohio Valley,Murray State Racers,murraystate,0
FCS,Ohio Valley,Southeast Missouri State Redhawks,southeastmissouristate,0
FCS,Ohio Valley,Tennessee State Tigers,tennesseestate,0
FCS,Ohio Valley,Tennessee Tech Golden Eagles,tennesseetech,0
FCS,Ohio Valley,Tennessee-Martin Skyhawks,tennesseemartin,0
FCS,Patriot,Bucknell Bison,bucknell,0
FCS,Patriot,Colgate Raiders,colgate,0
FCS,Patriot,Fordham Rams,fordham,0
FCS,Patriot,Georgetown Hoyas,georgetown,0
FCS,Patriot,Holy Cross Crusaders,holycross,0
FCS,Patriot,Lafayette Leopards,lafayette,0
FCS,Patriot,Lehigh Mountain Hawks,lehigh,0
FCS,Pioneer,Butler Bulldogs,butler,0
FCS,Pioneer,Campbell Fighting Camels,campbell,0
FCS,Pioneer,Davidson Wildcats,davidson,0
FCS,Pioneer,Dayton Flyers,dayton,0
FCS,Pioneer,Drake Bulldogs,drake,0
FCS,Pioneer,Jacksonville Dolphins,jacksonville,0
FCS,Pioneer,Marist Red Foxes,marist,0
FCS,Pioneer,Morehead State Eagles,moreheadstate,0
FCS,Pioneer,San Diego Toreros,sandiego,0
FCS,Pioneer,Stetson Hatters,stetson,0
FCS,Pioneer,Valparaiso Crusaders,valparaiso,0
FCS,Southern,Chattanooga Mocs,chattanooga,0
FCS,Southern,East Tennessee State Buccaneers,easttennesseestate,0
FCS,Southern,Furman Paladins,furman,0
FCS,Southern,Mercer Bears,mercer,0
FCS,Southern,Samford Bulldogs,samford,0
FCS,Southern,The Citadel Bulldogs,citadel,0
FCS,Southern,VMI Keydets,virginiamilitaryinstitute,0
FCS,Southern,Western Carolina Catamounts,westerncarolina,0
FCS,Southern,Wofford Terriers,wofford,0
FCS,Southland,Abilene Christian Wildcats,abilenechristian,0
FCS,Southland,Central Arkansas Bears,centralarkansas,0
FCS,Southland,Houston Baptist Huskies,houstonbaptist,0
FCS,Southland,Incarnate Word Cardinals,incarnateword,0
FCS,Southland,Lamar Cardinals,lamar,0
FCS,Southland,McNeese State Cowboys,mcneesestate,0
FCS,Southland,Nicholls State Colonels,nichollsstate,0
FCS,Southland,Northwestern State Demons,northwesternstate,0
FCS,Southland,Sam Houston State Bearkats,samhoustonstate,0
FCS,Southland,Southeastern Louisiana Lions,southeasternlouisiana,0
FCS,Southland,Stephen F. Austin Lumberjacks,stephenfaustin,0
FCS,SWAC,Alabama A&M Bulldogs,alabamaam,0
FCS,SWAC,Alabama State Hornets,alabamastate,0
FCS,SWAC,Alcorn State Braves,alcornstate,0
FCS,SWAC,Arkansas-Pine Bluff Golden Lions,arkansaspinebluff,0
FCS,SWAC,Grambling State Tigers,gramblingstate,0
FCS,SWAC,Jackson State Tigers,jacksonstate,0
FCS,SWAC,Mississippi Valley State Delta Devils,mississippivalleystate,0
FCS,SWAC,Prairie View A&M Panthers,prairieviewam,0
FCS,SWAC,Southern University Jaguars,southern,0
FCS,SWAC,Texas Southern Tigers,texassouthern,0
D2,CIAA,Bowie State Bulldogs,bowiestate,0
D2,CIAA,Chowan Hawks,chowan,0
D2,CIAA,Elizabeth City State Vikings,elizabethcitystate,0
D2,CIAA,Fayetteville State Broncos,fayettevillestate,0
D2,CIAA,Johnson C. Smith Golden Bulls,johnsoncsmith,0
D2,CIAA,Lincoln (PA) Lions,lincolnpa,0
D2,CIAA,Livingstone Blue Bears,livingstone,0
D2,CIAA,Shaw Bears,shawuniversity,0
D2,CIAA,St. Augustine's Falcons,staugustines,0
D2,CIAA,Virginia State Trojans,virginiastate,0
D2,CIAA,Virginia Union Panthers,virginiaunion,0
D2,CIAA,Winston-Salem State Rams,winstonsalemstate,0
D2,G-MAC,Alderson Broaddus Battlers,aldersonbroaddus,0
D2,G-MAC,Kentucky Wesleyan Panthers,kentuckywesleyan,0
D2,G-MAC,Malone Pioneers,malone,0
D2,GAC,Arkansas Tech Wonder Boys,arkansastech,0
D2,GAC,Arkansas-Monticello Boll Weevils,arkansasmonticello,0
D2,GAC,East Central Tigers,eastcentral,0
D2,GAC,Harding Bison,harding,0
D2,GAC,Henderson State Reddies,hendersonstate,0
D2,GAC,Northwestern Oklahoma State Rangers,northwestoklahomastate,0
D2,GAC,Oklahoma Baptist Bison,oklahomabaptist,0
D2,GAC,Ouachita Baptist Tigers,ouachitabaptist,0
D2,GAC,Southeastern Oklahoma State Savage Storm,southeasternoklahomastate,0
D2,GAC,Southern Arkansas Muleriders,southernarkansas,0
D2,GAC,Southern Nazarene Crimson Storm,southernnazarene,0
D2,GAC,Southwestern Oklahoma State Bulldogs,southwesternoklahomastate,0
D2,GLIAC,Ashland Eagles,ashland,0
D2,GLIAC,Davenport Panthers,davenport,0
D2,GLIAC,Ferris State Bulldogs,ferrisstate,0
D2,GLIAC,Findlay Oilers,findlay,0
D2,GLIAC,Grand Valley State Lakers,grandvalleystate,0
D2,GLIAC,Hillsdale Chargers,hillsdale,0
D2,GLIAC,Lake Erie Storm,lakeerie,0
D2,GLIAC,Michigan Tech Huskies,michigantech,0
D2,GLIAC,Northern Michigan Wildcats,northernmichigan,0
D2,GLIAC,Northwood (MI) Timberwolves,northwood,0
D2,GLIAC,Ohio Dominican Panthers,ohiodominican,0
D2,GLIAC,Saginaw Valley State Cardinals,saginawvalleystate,0
D2,GLIAC,Tiffin Dragons,tiffin,0
D2,GLIAC,Walsh Cavaliers,walsh,0
D2,GLIAC,Wayne State (MI) Warriors,waynestatemi,0
D2,GLVC,Indianapolis Greyhounds,indianapolis,0
D2,GLVC,Lincoln (MO) Blue Tigers,lincolnmo,0
D2,GLVC,McKendree Bearcats,mckendree,0
D2,GLVC,Missouri S&T Miners,missourisnt,0
D2,GLVC,Quincy Hawks,quincy,0
D2,GLVC,Southwest Baptist Bearcats,southwestbaptist,0
D2,GLVC,St. Joseph's (IN) Pumas,stjosephs,0
D2,GLVC,Truman State Bulldogs,trumanstate,0
D2,GLVC,William Jewell Cardinals,williamjewell,0
D2,GNAC,Azusa Pacific Cougars,azusapacific,0
D2,GNAC,Central Washington Wildcats,centralwashington,0
D2,GNAC,Humboldt State Lumberjacks,humboldtstate,0
D2,GNAC,Simon Fraser Clan,simonfraser,0
D2,GNAC,Western Oregon Wolves,westernoregon,0
D2,Gulf South,Delta State Statesmen,deltastate,0
D2,Gulf South,Florida Tech Panthers,floridatech,0
D2,Gulf South,Mississippi College Choctaws,mississippicollege,0
D2,Gulf South,North Alabama Lions,northalabama,0
D2,Gulf South,North Greenville Crusaders,northgreenville,0
D2,Gulf South,Shorter Hawks,shorter,0
D2,Gulf South,Valdosta State Blazers,valdostastate,0
D2,Gulf South,West Alabama Tigers,westalabama,0
D2,Gulf South,West Florida Argonauts,uwf,0
D2,Gulf South,West Georgia Wolves,westgeorgia,0
D2,LSC,Angelo State Rams,angelostate,0
D2,LSC,Eastern New Mexico Greyhounds,easternnewmexico,0
D2,LSC,Midwestern State Mustangs,midwesternstate,0
D2,LSC,Oklahoma Panhandle State Aggies,oklahomapanhandle,0
D2,LSC,Tarleton State Texans,tarletonstate,0
D2,LSC,Texas A&M-Commerce Lions,texasamcommerce,0
D2,LSC,Texas A&M-Kingsville Javelinas,texasamkingsville,0
D2,LSC,Texas-Permian Basin Falcons,utpb,0
D2,LSC,West Texas A&M Buffs,westtexasam,0
D2,LSC,Western New Mexico Mustangs,westernnewmexico,0
D2,MEC,Charleston (WV) Golden Eagles,charleston,0
D2,MEC,Concord Mountain Lions,concord,0
D2,MEC,Fairmont State Falcons,fairmontstate,0
D2,MEC,Glenville State Pioneers,glenvillestate,0
D2,MEC,Notre Dame (OH) Falcons,notredameoh,0
D2,MEC,Shepherd Rams,shepherd,0
D2,MEC,Urbana Blue Knights,urbana,0
D2,MEC,Virginia-Wise Highland Cavaliers,virginiawise,0
D2,MEC,West Liberty Hilltoppers,westliberty,0
D2,MEC,West Virginia State Yellow Jackets,westvirginiastate,0
D2,MEC,West Virginia Wesleyan Bobcats,westvirginiawesleyan,0
D2,MIAA,Central Missouri Mules,centralmissouri,0
D2,MIAA,Central Oklahoma Bronchos,centraloklahoma,0
D2,MIAA,Emporia State Hornets,emporiastate,0
D2,MIAA,Fort Hays State Tigers,forthaysstate,0
D2,MIAA,Lindenwood Lions,lindenwood,0
D2,MIAA,Missouri Southern Lions,missourisouthern,0
D2,MIAA,Missouri Western Griffons,missouriwestern,0
D2,MIAA,Nebraska-Kearney Lopers,nebraskakearney,0
D2,MIAA,Northeastern State RiverHawks,northeasternstate,0
D2,MIAA,Northwest Missouri State Bearcats,northwestmissouristate,0
D2,MIAA,Pittsburg State Gorillas,pittsburgstate,0
D2,MIAA,Washburn Ichabods,washburn,0
D2,Northeast 10,American International Yellow Jackets,americaninternational,0
D2,Northeast 10,Assumption Greyhounds,assumption,0
D2,Northeast 10,Bentley Falcons,bentley,0
D2,Northeast 10,Long Island-Post Pioneers,liupost,0
D2,Northeast 10,Merrimack Warriors,merrimack,0
D2,Northeast 10,New Haven Chargers,newhaven,0
D2,Northeast 10,Pace Setters,pace,0
D2,Northeast 10,Southern Connecticut Fighting Owls,southernconnecticutstate,0
D2,Northeast 10,St. Anselm Hawks,stanselm,0
D2,Northeast 10,Stonehill Skyhawks,stonehill,0
D2,Northern Sun,Augustana (SD) Vikings,augustanasd,0
D2,Northern Sun,Bemidji State Beavers,bemidjistate,0
D2,Northern Sun,Concordia (MN-St.Paul) Golden Bears,concordiastpaul,0
D2,Northern Sun,Mary Marauders,mary,0
D2,Northern Sun,Minnesota-Crookston Golden Eagles,minnesotacrookston,0
D2,Northern Sun,Minnesota-Duluth Bulldogs,minnesotaduluth,0
D2,Northern Sun,Minot State Beavers,minotstate,0
D2,Northern Sun,MSU-Mankato Mavericks,mankatostate,0
D2,Northern Sun,MSU-Moorhead Dragons,minnesotastatemoorhead,0
D2,Northern Sun,Northern State Wolves,northernstate,0
D2,Northern Sun,Sioux Falls Cougars,siouxfalls,0
D2,Northern Sun,Southwest Minnesota State Mustangs,southwestminnesotastate,0
D2,Northern Sun,St. Cloud State Huskies,stcloudstate,0
D2,Northern Sun,Upper Iowa Peacocks,upperiowa,0
D2,Northern Sun,Wayne State (NE) Wildcats,waynestate,0
D2,Northern Sun,Winona State Warriors,winonastate,0
D2,PSAC,Bloomsburg Huskies,bloomsburg,0
D2,PSAC,California (PA) Vulcans,californiapa,0
D2,PSAC,Cheyney Wolves,cheyney,0
D2,PSAC,Clarion Golden Eagles,clarion,0
D2,PSAC,East Stroudsburg Warriors,eaststroudsburg,0
D2,PSAC,Edinboro Fighting Scots,edinboro,0
D2,PSAC,Gannon Golden Knights,gannon,0
D2,PSAC,Indiana (PA) Crimson Hawks,indianapa,0
D2,PSAC,Kutztown Golden Bears,kutztown,0
D2,PSAC,Lock Haven Bald Eagles,lockhaven,0
D2,PSAC,Mercyhurst Lakers,mercyhurst,0
D2,PSAC,Millersville Marauders,millersville,0
D2,PSAC,Seton Hill Griffins,setonhill,0
D2,PSAC,Shippensburg Red Raiders,shippensburg,0
D2,PSAC,Slippery Rock The Rock,slipperyrock,0
D2,PSAC,West Chester Golden Rams,westchester,0
D2,RMAC,Adams State Grizzlies,adamsstate,0
D2,RMAC,Black Hills State Yellow Jackets,blackhillsstate,0
D2,RMAC,Chadron State Eagles,chadronstate,0
D2,RMAC,Colorado Mesa Mavericks,coloradomesa,0
D2,RMAC,Colorado Mines Orediggers,coloradomines,0
D2,RMAC,CSU-Pueblo ThunderWolves,csupueblo,0
D2,RMAC,Dixie State Red Storm,dixiestate,0
D2,RMAC,Fort Lewis Skyhawks,fortlewis,0
D2,RMAC,New Mexico Highlands Cowboys,newmexicohighlands,0
D2,RMAC,South Dakota Mines Hardrockers,southdakotamines,0
D2,RMAC,Western State Colorado Mountaineers,westernstate,0
D2,SIAC,Albany State Golden Rams,albanystate,0
D2,SIAC,Benedict Tigers,benedict,0
D2,SIAC,Central State Marauders,centralstate,0
D2,SIAC,Clark Atlanta Panthers,clarkatlanta,0
D2,SIAC,Fort Valley State Wildcats,fortvalleystate,0
D2,SIAC,Kentucky State Thorobreds,kentuckystate,0
D2,SIAC,Lane Dragons,lane,0
D2,SIAC,Miles Golden Bears,milescollege,0
D2,SIAC,Morehouse Maroon Tigers,morehouse,0
D2,SIAC,Tuskegee Golden Tigers,tuskegee,0
D2,South Atlantic,Brevard Tornados,brevard,0
D2,South Atlantic,Carson-Newman Eagles,carsonnewman,0
D2,South Atlantic,Catawba Indians,catawba,0
D2,South Atlantic,Lenoir-Rhyne Bears,lenoirrhyne,0
D2,South Atlantic,Limestone Saints,limestone,0
D2,South Atlantic,Mars Hill Lions,marshill,0
D2,South Atlantic,Newberry Wolves,newberry,0
D2,South Atlantic,Tusculum Pioneers,tusculum,0
D2,South Atlantic,UNC Pembroke Braves,uncpembroke,0
D2,South Atlantic,Wingate Bulldogs,wingate,0
D3,ASC,Belhaven Blazers,belhaven,0
D3,ASC,East Texas Baptist Tigers,easttexasbaptist,0
D3,ASC,Hardin-Simmons Cowboys,hardinsimmons,0
D3,ASC,Howard Payne Yellow Jackets,howardpayne,0
D3,ASC,Louisiana College Wildcats,louisianacollege,0
D3,ASC,Mary Hardin-Baylor Crusaders,umhb,0
D3,ASC,McMurry War Hawks,mcmurry,0
D3,ASC,Sul Ross State Lobos,sulrossstate,0
D3,CCIW,Augustana (IL) Vikings,augustana,0
D3,CCIW,Carthage Red Men,carthage,0
D3,CCIW,Carroll (WI) Pioneers,carrollwi,0
D3,CCIW,Elmhurst Bluejays,elmhurst,0
D3,CCIW,Illinois Wesleyan Titans,illinoiswesleyan,0
D3,CCIW,Millikin Big Blue,millikin,0
D3,CCIW,North Central Cardinals,northcentral,0
D3,CCIW,North Park Vikings,northpark,0
D3,CCIW,Wheaton (IL) Thunder,wheaton,0
D3,Centennial,Dickinson Red Devils,dickinson,0
D3,Centennial,Franklin & Marshall Diplomats,franklinmarshall,0
D3,Centennial,Gettysburg Bullets,gettysburg,0
D3,Centennial,Johns Hopkins Blue Jays,johnshopkins,0
D3,Centennial,Juniata Eagles,juniata,0
D3,Centennial,McDaniel Green Terror,mcdaniel,0
D3,Centennial,Moravian Greyhounds,moravian,0
D3,Centennial,Muhlenberg Mules,muhlenberg,0
D3,Centennial,Susquehanna River Hawks,susquehanna,0
D3,Centennial,Ursinus Bears,ursinus,0
D3,ECFC,Alfred State Pioneers,alfredstate,0
D3,ECFC,Anna Maria AMCATS,annamaria,0
D3,ECFC,Becker Hawks,becker,0
D3,ECFC,Castleton Spartans,castleton,0
D3,ECFC,Dean Bulldogs,dean,0
D3,ECFC,Gallaudet Bison,gallaudet,0
D3,ECFC,Husson Eagles,husson,0
D3,ECFC,Mount Ida Mustangs,mountida,0
D3,ECFC,Norwich Cadets,norwich,0
D3,ECFC,SUNY-Maritime Privateers,sunymaritime,0
D3,Empire 8,Alfred Saxons,alfred,0
D3,Empire 8,Brockport Golden Eagles,brockport,0
D3,Empire 8,Buffalo State Bengals,buffalostate,0
D3,Empire 8,Cortland State Red Dragons,sunycortland,0
D3,Empire 8,Hartwick Hawks,hartwick,0
D3,Empire 8,Ithaca Bombers,ithaca,0
D3,Empire 8,Morrisville State Mustangs,morrisvillestate,0
D3,Empire 8,St. John Fisher Cardinals,stjohnfisher,0
D3,Empire 8,Utica Pioneers,utica,0
D3,HCAC,Anderson (IN) Ravens,anderson,0
D3,HCAC,Bluffton Beavers,bluffton,0
D3,HCAC,Defiance Yellow Jackets,defiance,0
D3,HCAC,Earlham Quakers,earlham,0
D3,HCAC,Franklin Grizzlies,franklin,0
D3,HCAC,Hanover Panthers,hanover,0
D3,HCAC,Manchester (IN) Spartans,manchester,0
D3,HCAC,Mount St. Joseph Lions,mountstjoseph,0
D3,HCAC,Rose-Hulman Engineers,rosehulman,0
D3,IIAC,Buena Vista Beavers,buenavista,0
D3,IIAC,Central Dutch,central,0
D3,IIAC,Coe Kohawks,coe,0
D3,IIAC,Dubuque Spartans,dubuque,0
D3,IIAC,Loras Duhawks,loras,0
D3,IIAC,Luther Norse,luther,0
D3,IIAC,Nebraska Wesleyan Prairie Wolves,nebraskawesleyan,0
D3,IIAC,Simpson Storm,simpson,0
D3,IIAC,Wartburg Knights,wartburg,0
D3,Liberty,Hobart Statesmen,hobart,0
D3,Liberty,Merchant Marine Mariners,merchantmarine,0
D3,Liberty,Rochester Yellowjackets,rochester,0
D3,Liberty,RPI Engineers,rpi,0
D3,Liberty,Springfield Pride,springfield,0
D3,Liberty,St. Lawrence Saints,stlawrence,0
D3,Liberty,Union (NY) Dutchmen,union,0
D3,Liberty,Worcester Poly Engineers,wpi,0
D3,MASCAC,Bridgewater State Bears,bridgewaterstate,0
D3,MASCAC,Fitchburg State Falcons,fitchburgstate,0
D3,MASCAC,Framingham State Rams,framinghamstate,0
D3,MASCAC,Massachusetts Maritime Buccaneers,massachusettsmaritime,0
